ProjectID,RequirementText,Class,IsFunctional,IsQuality,IsOnlyFunctional,IsOnlyQuality,F+Q,NotR
11,the product shall ensure that only supervisors can enter a caller s schedule the product must ensure that supervisors are allowed to access advertise empty time slots,FR,1,1,0,0,1,0
6,the product shall be able to delete room equipment,FR,1,0,1,0,0,0
10,when a shot is marked as a hit the product shall simulate the sound of a shot hitting its target,FR,1,1,0,0,1,0
4,all actions that modify an existing dispute case must be recorded in the case history,FR,1,1,0,0,1,0
2,only registered realtors shall be able to access the system,FR,0,1,0,1,0,0
7,the system shall be able to automatically backup business data and restore them on demand,FR,1,1,0,0,1,0
8,only administrators can activate a pre paid card,FR,0,1,0,1,0,0
6,the product shall make the users want to use it 80 of the users surveyed report they are regularly using the product after the first 2 weeks post launch,FR,0,1,0,1,0,0
12,the product shall provide error tracking services the product shall help the system administrators and dbas to resolve transaction errors 99 of the time,FR,1,1,0,0,1,0
8,the website will comply with w3c standards,FR,0,1,0,1,0,0
5,the system shall prevent malicious attacks including denial of service,FR,0,1,0,1,0,0
6,the product shall record the transportation status of equipment reserved,FR,1,0,1,0,0,0
3,staff members shall be able to complete a set of tasks in a timely manner,FR,0,1,0,1,0,0
4,100 of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course,FR,0,1,0,1,0,0
5,the ratings shall be from a scale of 1 10,FR,1,0,1,0,0,0
9,for leads that process longer than 25 seconds the system will record the event and duration,FR,1,0,1,0,0,0
8,movies shall be encoded and streamed via windows media player 9 0,FR,0,1,0,1,0,0
14,the application shall ask the user to confirm dropping a player or trading a player before performing the action,FR,1,0,1,0,0,0
6,the product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution,FR,1,1,0,0,1,0
4,the disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests,FR,0,1,0,1,0,0
8,all aspects of the website shall be accessed by a web browser over the internet,FR,0,1,0,1,0,0
5,the product shall adhere to the corporate architecture guidelines,FR,0,1,0,1,0,0
1,the system shall refresh the display every 60 seconds,FR,1,1,0,0,1,0
6,the product shall prevent the input of malicious data the product and or adjacent hardware software systems data shall remain 100 uncorrupted each time malicious data is input into the product,FR,0,1,0,1,0,0
8,the website will provide a help section with answers and solutions to common problems,FR,1,0,1,0,0,0
3,the system shall allow a program administrator or nursing staff member to remove a student from a clinical lab section,FR,1,0,1,0,0,0
4,the disputes system shall allow the user to create or initiate a chargeback request the system must prompt the user to enter the required information to initiate a chargeback request the chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid,FR,1,0,1,0,0,0
6,the product and or dependent databases filesystems shall remain operational as a result of the input of malicious data the product and or dependent databases filesystems shall not crash 100 of the time that malicious data is input into the product,FR,0,1,0,1,0,0
5,the maintenance of the product will fall within the established corporate maintenance windows,FR,0,1,0,1,0,0
7,product formulas shall allow use of semi products which have own formulas,FR,1,0,1,0,0,0
8,website shall allow customers to view reviews of selected movies by other customers,FR,1,0,1,0,0,0
3,the system shall interface with the faculty central server,FR,0,1,0,1,0,0
2,the product shall operate in offline mode whenever internet connection is unavailable,FR,0,1,0,1,0,0
5,the recycled parts audit report shall be returned to the user within 10 seconds the audit report shall be returned within 10 seconds,FR,1,1,0,0,1,0
4,the disputes system must prevent external users from requesting original receipts requests for original receipts are restricted to internal users,FR,1,0,1,0,0,0
5,the adjuster shall be able to override the preferred repair facitlity on the estimate assignment,FR,1,0,1,0,0,0
4,all updates to data files or database must be initiated from the disputes system,FR,0,0,0,0,0,1
8,system shall let izogn manager access sales and usage statistics in under 2 minutes,FR,0,1,0,1,0,0
7,the system shall utilize currently owned computer equipment,FR,0,1,0,1,0,0
8,website shall allow customers to browse movies by categories entered in by izogn administrator,FR,1,0,1,0,0,0
5,the estimator shall search for available recycled parts using damaged vehicle parts information,FR,1,0,1,0,0,0
9,the lead washing process will operate within the established physical web service structure,FR,0,1,0,1,0,0
9,the leads washing functionality will have an interface in which lead data parameters can be maintained,FR,1,0,1,0,0,0
3,program administrators and nursing staff members shall be able to add a single student to a cohort,FR,1,0,1,0,0,0
6,the product shall be able to process 10 000 transactions per hour within two years of its launch this number will increase to 20 000 by release 2,FR,0,1,0,1,0,0
5,the product shall be supported using the corporate support center,FR,0,1,0,1,0,0
6,the product shall have the ability to receive automatic software updates as new threats emerge 100 of customers will be able to receive automatic software updates transmitted to the installed product,FR,0,1,0,1,0,0
13,the wcs system shall not allow automatic logins by any user cookies containing wcs login information about a user will not be stored on a user s computer,FR,0,1,0,1,0,0
3,the system shall be able to display a printable summary of the system log,FR,1,0,1,0,0,0
3,the system shall be used within the specifications defined by the computers used by the program administrators nursing staff members,FR,0,1,0,1,0,0
2,the look and feel of the system shall conform to the user interface standards of the smart device,FR,0,1,0,1,0,0
10,for each turn the product shall allow the offensive player to define a shot,FR,1,0,1,0,0,0
5,the estimator shall not apply recycled parts to the collision estimate if no available parts are returned,FR,1,0,1,0,0,0
8,an anonymous survey will show that 70 of customers are comfortable purchasing streaming movies after 2 weeks using the website,FR,0,1,0,1,0,0
5,the product shall be easy to use by adjusters and collision estimators 95 of adjusters and collision estimators shall find the product easy to use,FR,0,1,0,1,0,0
5,the product must comply with sarbanes oxley,FR,0,1,0,1,0,0
1,the bottom 3 4 of the table will hold events that occur according to its relevance to current time,FR,1,1,0,0,1,0
15,user access should be limited to the permissions granted to their role s each level in the pcg hierarchy will be assigned a role and users will be assigned to these roles access to functionality within rfs system is dependent on the privileges permission assigned to the role,FR,0,1,0,1,0,0
6,the language of the product shall accommodate all of the target market countries 90 of survey respondents from each target market country will find that the language of the product is acceptable,FR,0,1,0,1,0,0
4,the disputes application shall interface with the cardmember information database the cardmember information database provides detailed information with regard to a cardmember all cardmember detail information must be obtained from the cardmember information database,FR,0,1,0,1,0,0
6,the product s look and feel shall be able to incorporate aspects of the customer s organization such as logo branding and identity,FR,0,1,0,1,0,0
6,the product shall have a customizable look and feel,FR,1,1,0,0,1,0
6,the product shall display conference rooms according to search parameters,FR,1,0,1,0,0,0
5,the audit report shall include the percentage of available recycled parts used in the estimate,FR,1,0,1,0,0,0
8,system shall let administrators generate unique pre paid pins in under 2 minutes and generate an excel file with the generated pins,FR,1,1,0,0,1,0
6,the product is expected to integrate with multiple database management systems the product will operate with oracle sql server db2 mysql hsql and ms access,FR,0,1,0,1,0,0
6,a new user must be able to be added to the system within 10 minutes 90 of new users are able to log into the system within 10 minutes,FR,0,1,0,1,0,0
4,the disputes system must provide the ability to view existing dispute cases,FR,1,0,1,0,0,0
4,the disputes application must conform to the legal requirements as specified by regulation e and regulation z that govern credit card disputes processing,FR,0,1,0,1,0,0
4,the disputes system will provide the user the ability to create or initiate a ticket retrieval request as part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request the ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction,FR,1,0,1,0,0,0
6,the product shall conform to the americans with disabilities act,FR,0,1,0,1,0,0
3,students added to a cohort shall be eligible for the cohort s program of study,FR,1,0,1,0,0,0
13,all ccr users shall receive training before the wcs system is deployed one training session will be held for 100 of ccr users before system deployment based on a ccr user being available,FR,0,0,0,0,0,1
2,the product shall retain user preferences in the event of a failure,FR,1,0,1,0,0,0
10,when a ship is sunk the product shall simulate the sound of a sinking ship,FR,1,1,0,0,1,0
4,the dispute system shall provide the users with the ability to follow up on a dispute case via follow up actions the list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,FR,1,0,1,0,0,0
8,the same hardware supporting the current website will be used to support the new system,FR,0,1,0,1,0,0
6,the product shall record updated meeting agendas,FR,1,0,1,0,0,0
5,the system shall generate an audit report based on the available recycled parts and the collision estimate,FR,1,0,1,0,0,0
6,the response shall be fast enough to avoid interrupting the user s flow of thought 90 of tasks shall complete within 5 seconds 98 of tasks shall complete within 8 seconds,FR,0,1,0,1,0,0
13,the system shall only be accessed by authorized corporate community grants ccr employees users must be authenticated using their ibm intranet user name and password,FR,0,1,0,1,0,0
9,the leads washing functionality will verify the users authentication and rights to make parameter updates,FR,1,0,1,0,0,0
12,the product shall interface csr and datastream the product shall exchange messages between csr and eam on a real time basis without any direct interfaces between two systems,FR,0,1,0,1,0,0
